file_name,path,figure_id,chapter,chapter_title,title,status,layout_status
"fig-13-1-brood-nest-organisation.svg","assets/diagrams/wave-02/fig-13-1-brood-nest-organisation.svg","13.1","13","Colony Structure","Brood Nest Organisation","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-13-2-colony-superorganism.svg","assets/diagrams/wave-02/fig-13-2-colony-superorganism.svg","13.2","13","Colony Structure","Colony Superorganism","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-13-4-resource-flow-colony.svg","assets/diagrams/wave-02/fig-13-4-resource-flow-colony.svg","13.4","13","Colony Structure","Resource Flow Colony","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-14-1-annual-colony-population-cycle.svg","assets/diagrams/wave-02/fig-14-1-annual-colony-population-cycle.svg","14.1","14","Seasonal Colony Development","Annual Colony Population Cycle","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-14-2-temperate-warm-climate-patterns.svg","assets/diagrams/wave-02/fig-14-2-temperate-warm-climate-patterns.svg","14.2","14","Seasonal Colony Development","Temperate Warm Climate Patterns","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-14-4-forage-brood-feedback.svg","assets/diagrams/wave-02/fig-14-4-forage-brood-feedback.svg","14.4","14","Seasonal Colony Development","Forage Brood Feedback","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-15-2-good-poor-flight-paths.svg","assets/diagrams/wave-02/fig-15-2-good-poor-flight-paths.svg","15.2","15","Choosing an Apiary Location","Good Poor Flight Paths","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-15-3-drainage-stand-placement.svg","assets/diagrams/wave-02/fig-15-3-drainage-stand-placement.svg","15.3","15","Choosing an Apiary Location","Drainage Stand Placement","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-15-4-landscape-forage-mosaic.svg","assets/diagrams/wave-02/fig-15-4-landscape-forage-mosaic.svg","15.4","15","Choosing an Apiary Location","Landscape Forage Mosaic","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-16-1-small-apiary-layout.svg","assets/diagrams/wave-02/fig-16-1-small-apiary-layout.svg","16.1","16","Planning the Apiary","Small Apiary Layout","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-16-2-growth-plan.svg","assets/diagrams/wave-02/fig-16-2-growth-plan.svg","16.2","16","Planning the Apiary","Growth Plan","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-16-5-apiary-identification-system.svg","assets/diagrams/wave-02/fig-16-5-apiary-identification-system.svg","16.5","16","Planning the Apiary","Apiary Identification System","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-17-1-common-movable-frame-hives.svg","assets/diagrams/wave-02/fig-17-1-common-movable-frame-hives.svg","17.1","17","Hive Types","Common Movable Frame Hives","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-17-2-horizontal-vs-vertical-expansion.svg","assets/diagrams/wave-02/fig-17-2-horizontal-vs-vertical-expansion.svg","17.2","17","Hive Types","Horizontal vs Vertical Expansion","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-17-4-hive-system-comparison-matrix.svg","assets/diagrams/wave-02/fig-17-4-hive-system-comparison-matrix.svg","17.4","17","Hive Types","Hive System Comparison Matrix","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-18-1-exploded-modular-hive.svg","assets/diagrams/wave-02/fig-18-1-exploded-modular-hive.svg","18.1","18","Hive Components","Exploded Modular Hive","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-18-2-frame-spacing-bee-space.svg","assets/diagrams/wave-02/fig-18-2-frame-spacing-bee-space.svg","18.2","18","Hive Components","Frame Spacing Bee Space","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-18-3-floor-types.svg","assets/diagrams/wave-02/fig-18-3-floor-types.svg","18.3","18","Hive Components","Floor Types","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-19-1-frame-anatomy.svg","assets/diagrams/wave-02/fig-19-1-frame-anatomy.svg","19.1","19","Frames and Foundation","Frame Anatomy","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-19-4-straight-natural-comb.svg","assets/diagrams/wave-02/fig-19-4-straight-natural-comb.svg","19.4","19","Frames and Foundation","Straight Natural Comb","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-19-5-comb-age-sequence.svg","assets/diagrams/wave-02/fig-19-5-comb-age-sequence.svg","19.5","19","Frames and Foundation","Comb Age Sequence","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-20-1-beginner-equipment-set.svg","assets/diagrams/wave-02/fig-20-1-beginner-equipment-set.svg","20.1","20","Essential Equipment","Beginner Equipment Set","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-20-2-equipment-by-task.svg","assets/diagrams/wave-02/fig-20-2-equipment-by-task.svg","20.2","20","Essential Equipment","Equipment By Task","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-20-4-clean-equipment-workflow.svg","assets/diagrams/wave-02/fig-20-4-clean-equipment-workflow.svg","20.4","20","Essential Equipment","Clean Equipment Workflow","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
