file_name,path,figure_id,chapter,title,category,theme,status,color_pass,high_fidelity_required,notes
fig-25-3-inspection-questions-before-opening.svg,assets/diagrams/wave-01/fig-25-3-inspection-questions-before-opening.svg,25.3,25,Figure 25.3 — Inspection Questions Before Opening,Hive Inspection,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-25-5-queenright-evidence.svg,assets/diagrams/wave-01/fig-25-5-queenright-evidence.svg,25.5,25,Figure 25.5 — Queenright Evidence Without Finding the Queen,Hive Inspection,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-33-12-emergency-box-separation.svg,assets/diagrams/wave-01/fig-33-12-emergency-box-separation.svg,33.12,33,Figure 33.12 — Emergency Box Separation,Moving Colonies,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-33-14-post-move-inspection.svg,assets/diagrams/wave-01/fig-33-14-post-move-inspection.svg,33.14,33,Figure 33.14 — Post-Move Inspection,Moving Colonies,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-33-4-entrance-closure.svg,assets/diagrams/wave-01/fig-33-4-entrance-closure.svg,33.4,33,Figure 33.4 — Correct and Incorrect Entrance Closure,Moving Colonies,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-33-6-vehicle-loading.svg,assets/diagrams/wave-01/fig-33-6-vehicle-loading.svg,33.6,33,Figure 33.6 — Vehicle Loading,Moving Colonies,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-33-7-manual-handling.svg,assets/diagrams/wave-01/fig-33-7-manual-handling.svg,33.7,33,Figure 33.7 — Manual Handling During Colony Moves,Moving Colonies,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-1-emergency-triage-sequence.svg,assets/diagrams/wave-01/fig-38-1-emergency-triage-sequence.svg,38.1,38,Figure 38.1 — Emergency Triage Sequence,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-10-recovery-monitoring-timeline.svg,assets/diagrams/wave-01/fig-38-10-recovery-monitoring-timeline.svg,38.10,38,Figure 38.10 — Recovery Monitoring Timeline,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-2-starvation-versus-accessible-stores.svg,assets/diagrams/wave-01/fig-38-2-starvation-versus-accessible-stores.svg,38.2,38,Figure 38.2 — Starvation Versus Accessible Stores,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-4-transport-overheating.svg,assets/diagrams/wave-01/fig-38-4-transport-overheating.svg,38.4,38,Figure 38.4 — Transport Overheating,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-6-storm-damaged-hive-recovery.svg,assets/diagrams/wave-01/fig-38-6-storm-damaged-hive-recovery.svg,38.6,38,Figure 38.6 — Storm-Damaged Hive Recovery,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-7-sudden-mortality-evidence-map.svg,assets/diagrams/wave-01/fig-38-7-sudden-mortality-evidence-map.svg,38.7,38,Figure 38.7 — Sudden Mortality Evidence Map,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-38-8-suspected-disease-biosecurity-zone.svg,assets/diagrams/wave-01/fig-38-8-suspected-disease-biosecurity-zone.svg,38.8,38,Figure 38.8 — Suspected-Disease Biosecurity Zone,Emergency Colony Management,emergency,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-39-1-disease-investigation-framework.svg,assets/diagrams/wave-01/fig-39-1-disease-investigation-framework.svg,39.1,39,Figure 39.1 — Disease Investigation Framework,Bee Health / Disease,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-39-13-differential-diagnosis-matrix.svg,assets/diagrams/wave-01/fig-39-13-differential-diagnosis-matrix.svg,39.13,39,Figure 39.13 — Differential Diagnosis Matrix,Bee Health / Disease,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-40-13-monitoring-method-matches-question.svg,assets/diagrams/wave-01/fig-40-13-monitoring-method-matches-question.svg,40.13,40,Figure 40.13 — Monitoring Method Matches the Question,Bee Health / Parasites,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-41-11-treatment-failure-versus-reinvasion.svg,assets/diagrams/wave-01/fig-41-11-treatment-failure-versus-reinvasion.svg,41.11,41,Figure 41.11 — Treatment Failure Versus Reinvasion,Bee Health / Varroa,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-41-13-pre-treatment-safety-check.svg,assets/diagrams/wave-01/fig-41-13-pre-treatment-safety-check.svg,41.13,41,Figure 41.13 — Honey-Super and Temperature Decision Check,Bee Health / Varroa,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-41-6-adult-bee-wash-procedure.svg,assets/diagrams/wave-01/fig-41-6-adult-bee-wash-procedure.svg,41.6,41,Figure 41.6 — Adult-Bee Wash Procedure,Bee Health / Varroa,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-41-7-monitoring-methods-compared.svg,assets/diagrams/wave-01/fig-41-7-monitoring-methods-compared.svg,41.7,41,Figure 41.7 — Monitoring Methods Compared,Bee Health / Varroa,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-41-9-thresholds-contextual.svg,assets/diagrams/wave-01/fig-41-9-thresholds-contextual.svg,41.9,41,Figure 41.9 — Why Thresholds Are Contextual,Bee Health / Varroa,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-42-11-nosema-management-framework.svg,assets/diagrams/wave-01/fig-42-11-nosema-management-framework.svg,42.11,42,Figure 42.11 — Nosema Management Framework,Bee Health / Nosema,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-42-4-dysentery-not-diagnosis.svg,assets/diagrams/wave-01/fig-42-4-dysentery-not-diagnosis.svg,42.4,42,Figure 42.4 — Dysentery Is Not a Diagnosis,Bee Health / Nosema,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-42-6-nosema-microscopy-workflow.svg,assets/diagrams/wave-01/fig-42-6-nosema-microscopy-workflow.svg,42.6,42,Figure 42.6 — Microscopy Workflow,Bee Health / Nosema,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-42-8-microscopy-vs-pcr.svg,assets/diagrams/wave-01/fig-42-8-microscopy-vs-pcr.svg,42.8,42,Figure 42.8 — Microscopy Versus PCR/qPCR,Bee Health / Nosema,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-42-9-positive-result-not-equal-cause.svg,assets/diagrams/wave-01/fig-42-9-positive-result-not-equal-cause.svg,42.9,42,Figure 42.9 — A Positive Result Does Not Equal Cause,Bee Health / Nosema,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-10-cleaning-versus-decontamination.svg,assets/diagrams/wave-01/fig-43-10-cleaning-versus-decontamination.svg,43.10,43,Figure 43.10 — Cleaning Versus Decontamination,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-11-antibiotics-do-not-eradicate-afb.svg,assets/diagrams/wave-01/fig-43-11-antibiotics-do-not-eradicate-afb.svg,43.11,43,Figure 43.11 — Why Antibiotics Do Not Eradicate AFB,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-12-afb-trace-back-trace-forward.svg,assets/diagrams/wave-01/fig-43-12-afb-trace-back-trace-forward.svg,43.12,43,Figure 43.12 — Trace-Back and Trace-Forward Map,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-13-afb-response-decision-flow.svg,assets/diagrams/wave-01/fig-43-13-afb-response-decision-flow.svg,43.13,43,Figure 43.13 — AFB Response Decision Flow,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-6-afb-differential-diagnosis.svg,assets/diagrams/wave-01/fig-43-6-afb-differential-diagnosis.svg,43.6,43,Figure 43.6 — AFB Differential Diagnosis,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-43-9-afb-laboratory-confirmation-pathways.svg,assets/diagrams/wave-01/fig-43-9-afb-laboratory-confirmation-pathways.svg,43.9,43,Figure 43.9 — Laboratory Confirmation Pathways,Bee Health / AFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-10-efb-follow-up-after-recovery.svg,assets/diagrams/wave-01/fig-44-10-efb-follow-up-after-recovery.svg,44.10,44,Figure 44.10 — Follow-Up After Apparent Recovery,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-11-efb-apiary-contact-map.svg,assets/diagrams/wave-01/fig-44-11-efb-apiary-contact-map.svg,44.11,44,Figure 44.11 — Apiary Contact Map,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-4-efb-versus-afb.svg,assets/diagrams/wave-01/fig-44-4-efb-versus-afb.svg,44.4,44,Figure 44.4 — EFB Versus AFB,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-5-efb-differential-diagnosis.svg,assets/diagrams/wave-01/fig-44-5-efb-differential-diagnosis.svg,44.5,44,Figure 44.5 — EFB Differential Diagnosis,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-6-efb-disease-expression-colony-stress.svg,assets/diagrams/wave-01/fig-44-6-efb-disease-expression-colony-stress.svg,44.6,44,Figure 44.6 — Disease Expression and Colony Stress,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-8-efb-sampling-diagnostic-pathway.svg,assets/diagrams/wave-01/fig-44-8-efb-sampling-diagnostic-pathway.svg,44.8,44,Figure 44.8 — EFB Sampling and Diagnostic Pathway,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-44-9-shook-swarm-principle.svg,assets/diagrams/wave-01/fig-44-9-shook-swarm-principle.svg,44.9,44,Figure 44.9 — Shook-Swarm Principle,Bee Health / EFB,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-1-infection-versus-clinical-disease.svg,assets/diagrams/wave-01/fig-45-1-infection-versus-clinical-disease.svg,45.1,45,Figure 45.1 — Infection Versus Clinical Disease,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-10-pooled-vs-individual-sampling.svg,assets/diagrams/wave-01/fig-45-10-pooled-vs-individual-sampling.svg,45.10,45,Figure 45.10 — Pooled Versus Individual Sampling,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-11-viral-differential-diagnosis.svg,assets/diagrams/wave-01/fig-45-11-viral-differential-diagnosis.svg,45.11,45,Figure 45.11 — Viral Differential Diagnosis,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-12-virus-management-framework.svg,assets/diagrams/wave-01/fig-45-12-virus-management-framework.svg,45.12,45,Figure 45.12 — Practical Virus-Management Framework,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-2-viral-transmission-routes.svg,assets/diagrams/wave-01/fig-45-2-viral-transmission-routes.svg,45.2,45,Figure 45.2 — Viral Transmission Routes,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-45-9-rt-pcr-workflow.svg,assets/diagrams/wave-01/fig-45-9-rt-pcr-workflow.svg,45.9,45,Figure 45.9 — RT-PCR Workflow,Bee Health / Viruses,health,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-1-honey-bee-ipm-cycle.svg,assets/diagrams/wave-01/fig-46-1-honey-bee-ipm-cycle.svg,46.1,46,Figure 46.1 — The Honey Bee IPM Cycle,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-10-treatment-failure-investigation.svg,assets/diagrams/wave-01/fig-46-10-treatment-failure-investigation.svg,46.10,46,Figure 46.10 — Treatment Failure Investigation,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-12-established-vs-exotic-regulated-pest.svg,assets/diagrams/wave-01/fig-46-12-established-vs-exotic-regulated-pest.svg,46.12,46,Figure 46.12 — Established Pest Versus Exotic Regulated Pest,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-3-surveillance-versus-monitoring.svg,assets/diagrams/wave-01/fig-46-3-surveillance-versus-monitoring.svg,46.3,46,Figure 46.3 — Surveillance Versus Monitoring,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-4-ipm-thresholds-contextual.svg,assets/diagrams/wave-01/fig-46-4-ipm-thresholds-contextual.svg,46.4,46,Figure 46.4 — Thresholds Are Contextual,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-46-9-mode-of-action-resistance-selection.svg,assets/diagrams/wave-01/fig-46-9-mode-of-action-resistance-selection.svg,46.9,46,Figure 46.9 — Mode of Action and Resistance Selection,Bee Health / IPM,ipm,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
,,25.7,25,Brood Pattern Interpretation,Hive Inspection,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,39.2,39,Healthy Brood Reference,Bee Health / Disease,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE
,,39.3,39,Patchy Brood Has Multiple Causes,Bee Health / Disease,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,39.4,39,American Foulbrood Suspicion Features,Bee Health / Disease,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,40.3,40,Varroa Reproductive Cycle,Bee Health / Parasites,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,40.4,40,Varroa on Adult Bees,Bee Health / Parasites,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE
,,40.7,40,Varroa and Tropilaelaps Comparison,Bee Health / Parasites,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_TECHNICAL_ILLUSTRATION_OR_PHOTO
,,40.8,40,Tropilaelaps Life Cycle and Brood Dependence,Bee Health / Parasites,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,41.1,41,Varroa Life Cycle in Worker Brood,Bee Health / Varroa,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,41.3,41,Adult-Bee Feeding Site,Bee Health / Varroa,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,41.10,41,Varroa Control Categories,Bee Health / Varroa,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_TECHNICAL_ILLUSTRATION_OR_PHOTO
,,42.1,42,Nosema Life Cycle in an Adult Bee,Bee Health / Nosema,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,42.3,42,Healthy Versus Heavily Affected Midgut Concept,Bee Health / Nosema,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,43.2,43,Healthy Brood Versus Early AFB Suspicion,Bee Health / AFB,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,43.3,43,Disease-Stage Cell Series,Bee Health / AFB,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE
,,44.2,44,Healthy Versus EFB-Affected Open Brood,Bee Health / EFB,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE
,,45.3,45,Varroa–DWV Interaction,Bee Health / Viruses,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
,,46.6,46,Drone-Brood Removal Sequence,Bee Health / IPM,high-fidelity,HIGH_FIDELITY_PENDING,NOT_APPLICABLE_YET,Yes,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION
