asset_id,figure_id,chapter,chapter_title,working_title,visual_type,priority_score,editorial_priority,selection_status,reuse_family,source_plan
F06.04,6.4,6,Bee Anatomy,Internal Systems,anatomical,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-06-illustration-plan.md
F06.05,6.5,6,Bee Anatomy,"Worker, Queen and Drone Anatomy Comparison",comparison,9,A_CORE,SELECT_FOR_FINAL_LAYOUT,BEE_CASTE_ANATOMY,docs/illustration-plans/chapter-06-illustration-plan.md
F07.01,7.1,7,Honey Bee Life Cycle,Complete Development Cycle,timeline,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-07-illustration-plan.md
F07.02,7.2,7,Honey Bee Life Cycle,Larval Growth and Feeding,scientific_illustration,3,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-07-illustration-plan.md
F07.03,7.3,7,Honey Bee Life Cycle,Metamorphosis Under the Capping,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-07-illustration-plan.md
F07.04,7.4,7,Honey Bee Life Cycle,Caste Development Comparison,comparison,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-07-illustration-plan.md
F08.01,8.1,8,The Queen,Queen Anatomy and Identification,anatomical,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,BEE_CASTE_ANATOMY,docs/illustration-plans/chapter-08-illustration-plan.md
F08.02,8.2,8,The Queen,Queen Reproductive System,anatomical,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-08-illustration-plan.md
F08.03,8.3,8,The Queen,Mating and Sperm Storage Concept,comparison,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-08-illustration-plan.md
F08.04,8.4,8,The Queen,Queen Pheromonal Influence,scientific_illustration,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-08-illustration-plan.md
F08.05,8.5,8,The Queen,Queen-Life Management Timeline,timeline,6,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-08-illustration-plan.md
F09.01,9.1,9,Worker Bees,Worker Task Progression,process,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-09-illustration-plan.md
F09.02,9.2,9,Worker Bees,Worker Specialised Structures,anatomical,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-09-illustration-plan.md
F09.03,9.3,9,Worker Bees,Forager Resource Types,scientific_illustration,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-09-illustration-plan.md
F09.04,9.4,9,Worker Bees,Worker Longevity Context,comparison,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-09-illustration-plan.md
F10.01,10.1,10,Drones,Drone Identification,scientific_illustration,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-10-illustration-plan.md
F10.02,10.2,10,Drones,Drone Development,comparison,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-10-illustration-plan.md
F10.03,10.3,10,Drones,Drone Reproductive Anatomy,anatomical,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-10-illustration-plan.md
F10.04,10.4,10,Drones,Mating Congregation Concept,scientific_illustration,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-10-illustration-plan.md
F10.05,10.5,10,Drones,Seasonal Drone Dynamics,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-10-illustration-plan.md
F11.01,11.1,11,Communication Inside the Colony,Waggle Dance Geometry,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-11-illustration-plan.md
F11.02,11.2,11,Communication Inside the Colony,Distance and Dance Tempo Concept,comparison,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-11-illustration-plan.md
F11.03,11.3,11,Communication Inside the Colony,Multimodal Communication,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-11-illustration-plan.md
F11.04,11.4,11,Communication Inside the Colony,Alarm and Recruitment Signals,comparison,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-11-illustration-plan.md
F11.05,11.5,11,Communication Inside the Colony,Swarm Nest-Site Communication,scientific_illustration,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-11-illustration-plan.md
F12.01,12.1,12,Bee Behaviour,Behavioural Repertoire,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-12-illustration-plan.md
F12.02,12.2,12,Bee Behaviour,Orientation Flight Versus Robbing,comparison,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-12-illustration-plan.md
F12.03,12.3,12,Bee Behaviour,Defensive Escalation,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-12-illustration-plan.md
F12.04,12.4,12,Bee Behaviour,Grooming and Hygienic Behaviour,comparison,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-12-illustration-plan.md
F12.05,12.5,12,Bee Behaviour,Clustering and Thermoregulation,comparison,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-12-illustration-plan.md
F13.01,13.1,13,Colony Structure,Brood-Nest Organisation,scientific_illustration,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-13-illustration-plan.md
F13.02,13.2,13,Colony Structure,Colony as a Superorganism,scientific_illustration,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-13-illustration-plan.md
F13.03,13.3,13,Colony Structure,Age Structure and Workforce,scientific_illustration,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-13-illustration-plan.md
F13.04,13.4,13,Colony Structure,Resource Flow Through the Colony,process,9,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-13-illustration-plan.md
F14.01,14.1,14,Seasonal Colony Development,Annual Colony Population Cycle,timeline,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-14-illustration-plan.md
F14.02,14.2,14,Seasonal Colony Development,Temperate Versus Warm-Climate Patterns,comparison,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-14-illustration-plan.md
F14.03,14.3,14,Seasonal Colony Development,Winter-Bee Development,scientific_illustration,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-14-illustration-plan.md
F14.04,14.4,14,Seasonal Colony Development,Forage–Brood Feedback,scientific_illustration,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-14-illustration-plan.md
F15.01,15.1,15,Choosing an Apiary Location,Apiary Site Assessment,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,APIARY_SITE_SYSTEM,docs/illustration-plans/chapter-15-illustration-plan.md
F15.02,15.2,15,Choosing an Apiary Location,Good and Poor Flight Paths,comparison,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-15-illustration-plan.md
F15.03,15.3,15,Choosing an Apiary Location,Drainage and Stand Placement,comparison,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-15-illustration-plan.md
F15.04,15.4,15,Choosing an Apiary Location,Landscape Forage Mosaic,map_landscape,3,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-15-illustration-plan.md
F15.05,15.5,15,Choosing an Apiary Location,Carrying Capacity Concept,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-15-illustration-plan.md
F16.01,16.1,16,Planning the Apiary,Small Apiary Layout,map_landscape,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,APIARY_SITE_SYSTEM,docs/illustration-plans/chapter-16-illustration-plan.md
F16.02,16.2,16,Planning the Apiary,Growth Plan,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-16-illustration-plan.md
F16.03,16.3,16,Planning the Apiary,Drift-Reduction Layouts,comparison,4,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-16-illustration-plan.md
F16.04,16.4,16,Planning the Apiary,Equipment Flow,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-16-illustration-plan.md
F16.05,16.5,16,Planning the Apiary,Apiary Identification System,scientific_illustration,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-16-illustration-plan.md
F17.01,17.1,17,Hive Types,Common Movable-Frame Hive Families,scientific_illustration,2,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-17-illustration-plan.md
F17.02,17.2,17,Hive Types,Horizontal Versus Vertical Expansion,comparison,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-17-illustration-plan.md
F17.03,17.3,17,Hive Types,Top-Bar Hive Concept,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-17-illustration-plan.md
F17.04,17.4,17,Hive Types,Hive-System Comparison Matrix,chart_data,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-17-illustration-plan.md
F18.01,18.1,18,Hive Components,Exploded Modular Hive,scientific_illustration,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-18-illustration-plan.md
F18.02,18.2,18,Hive Components,Frame Spacing and Bee Space,comparison,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-18-illustration-plan.md
F18.03,18.3,18,Hive Components,Floor Types,comparison,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-18-illustration-plan.md
F18.04,18.4,18,Hive Components,Entrance Management,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-18-illustration-plan.md
F18.05,18.5,18,Hive Components,Hive Materials,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-18-illustration-plan.md
F19.01,19.1,19,Frames and Foundation,Frame Anatomy,anatomical,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-19-illustration-plan.md
F19.02,19.2,19,Frames and Foundation,Foundation Types,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-19-illustration-plan.md
F19.03,19.3,19,Frames and Foundation,Wiring / Reinforcement Concept,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-19-illustration-plan.md
F19.04,19.4,19,Frames and Foundation,Straight Natural Comb,comparison,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-19-illustration-plan.md
F19.05,19.5,19,Frames and Foundation,Comb Age Sequence,process,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-19-illustration-plan.md
F20.01,20.1,20,Essential Equipment,Beginner Equipment Set,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-20-illustration-plan.md
F20.02,20.2,20,Essential Equipment,Equipment by Task,process,12,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-20-illustration-plan.md
F20.03,20.3,20,Essential Equipment,Purchase Priority Matrix,chart_data,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-20-illustration-plan.md
F20.04,20.4,20,Essential Equipment,Clean Equipment Workflow,process,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,CLEAN_ZONE_SYSTEM,docs/illustration-plans/chapter-20-illustration-plan.md
F20.05,20.5,20,Essential Equipment,Maintenance Check,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-20-illustration-plan.md
F21.01,21.1,21,Protective Clothing,Protective Clothing System,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-21-illustration-plan.md
F21.02,21.2,21,Protective Clothing,Veil Clearance,comparison,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-21-illustration-plan.md
F21.03,21.3,21,Protective Clothing,Clothing Selection by Task,scientific_illustration,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-21-illustration-plan.md
F21.04,21.4,21,Protective Clothing,Pre-Inspection PPE Check,scientific_illustration,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-21-illustration-plan.md
F21.05,21.5,21,Protective Clothing,Heat-Stress Awareness,scientific_illustration,4,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-21-illustration-plan.md
F22.01,22.1,22,Smokers and Hive Tools,Smoker Anatomy,anatomical,11,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.02,22.2,22,Smokers and Hive Tools,Airflow and Cool-Smoke Production,technical_cutaway,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.03,22.3,22,Smokers and Hive Tools,Suitable Versus Unsuitable Smoker Fuels,comparison,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.04,22.4,22,Smokers and Hive Tools,Smoker-Lighting Sequence,process,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.05,22.5,22,Smokers and Hive Tools,Minimum Effective Smoke,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.06,22.6,22,Smokers and Hive Tools,Hot-Smoker and Fire-Safety Zone,process,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.07,22.7,22,Smokers and Hive Tools,Common Hive-Tool Designs,comparison,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.08,22.8,22,Smokers and Hive Tools,Correct Frame Release,comparison,8,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-22-illustration-plan.md
F22.09,22.9,22,Smokers and Hive Tools,Tool Hygiene Between Colonies,process,8,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,CLEAN_ZONE_SYSTEM,docs/illustration-plans/chapter-22-illustration-plan.md
F22.10,22.10,22,Smokers and Hive Tools,Compact Inspection Tool Kit,scientific_illustration,8,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-22-illustration-plan.md
F23.01,23.1,23,Beekeeping Safety and First Aid,Apiary Hazard Map,map_landscape,9,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.02,23.2,23,Beekeeping Safety and First Aid,Simple Risk-Assessment Sequence,chart_data,5,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.03,23.3,23,Beekeeping Safety and First Aid,Hierarchy of Controls for Beekeeping,process,6,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.04,23.4,23,Beekeeping Safety and First Aid,Sting Prevention and Protective Overlap,process,6,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.05,23.5,23,Beekeeping Safety and First Aid,Honey-Bee Stinger Removal,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.06,23.6,23,Beekeeping Safety and First Aid,Local Reaction Versus Emergency Warning Signs,comparison,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.07,23.7,23,Beekeeping Safety and First Aid,Apiary First-Aid and Emergency Kit,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.08,23.8,23,Beekeeping Safety and First Aid,Safer Super Lifting,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.09,23.9,23,Beekeeping Safety and First Aid,"Heat, Cold and Dehydration Prevention",decision_flow,9,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.10,23.10,23,Beekeeping Safety and First Aid,Smoker and Vegetation-Fire Safety,scientific_illustration,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.11,23.11,23,Beekeeping Safety and First Aid,Chemical-Treatment PPE and Label Discipline,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F23.12,23.12,23,Beekeeping Safety and First Aid,Lone-Working Emergency Plan,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-23-illustration-plan.md
F24.01,24.1,24,Installing Bees,Starting Units Compared,comparison,12,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.02,24.2,24,Installing Bees,Prepared Receiving Hive,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.03,24.3,24,Installing Bees,Safe Bee Transport,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.04,24.4,24,Installing Bees,Package-Bee Installation Sequence,process,8,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.05,24.5,24,Installing Bees,Queen Cage and Release Concepts,process,8,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.06,24.6,24,Installing Bees,Nucleus Transfer,scientific_illustration,8,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.07,24.7,24,Installing Bees,Swarm Installation,process,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.08,24.8,24,Installing Bees,Entrance Reduction and Robbing Prevention,scientific_illustration,4,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.09,24.9,24,Installing Bees,First-Inspection Decision Timeline,decision_flow,11,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.10,24.10,24,Installing Bees,Early Success and Warning Signs,comparison,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.11,24.11,24,Installing Bees,New-Colony Biosecurity,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F24.12,24.12,24,Installing Bees,Installation Record Example,process,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-24-illustration-plan.md
F25.01,25.1,25,Routine Hive Inspections,Inspection Depth Ladder,scientific_illustration,8,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.02,25.2,25,Routine Hive Inspections,Pre-Opening Observation,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.03,25.3,25,Routine Hive Inspections,Inspection Questions Before Opening,decision_flow,15,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.04,25.4,25,Routine Hive Inspections,Safe Frame-Handling Sequence,process,8,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.05,25.5,25,Routine Hive Inspections,Queenright Evidence Without Finding the Queen,scientific_illustration,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.06,25.6,25,Routine Hive Inspections,Healthy Brood-Age Reference,scientific_illustration,10,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,HEALTHY_BROOD_REFERENCE,docs/illustration-plans/chapter-25-illustration-plan.md
F25.07,25.7,25,Routine Hive Inspections,Brood Pattern Interpretation,comparison,16,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.08,25.8,25,Routine Hive Inspections,Colony Strength Estimate,scientific_illustration,6,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-25-illustration-plan.md
F25.09,25.9,25,Routine Hive Inspections,Food-Reserve Assessment,scientific_illustration,8,C_OPTIONAL_MERGE,MERGE_CROSS_REFERENCE_OR_OMIT_UNLESS_NEEDED,,docs/illustration-plans/chapter-25-illustration-plan.md
