asset_id,figure_id,chapter,chapter_title,part,working_title,visual_type,production_status,rights_status,accuracy_status,recommended_print_size,source_plan
F04.04,4.4,4,Products of the Hive,I — Foundations,From Colony to Market,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-04-illustration-plan.md
F05.01,5.1,5,Modern Beekeeping,I — Foundations,Modern Beekeeping System,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-05-illustration-plan.md
F05.02,5.2,5,Modern Beekeeping,I — Foundations,Evidence-Based Decision Loop,decision_flow,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-05-illustration-plan.md
F05.03,5.3,5,Modern Beekeeping,I — Foundations,Traditional Tools and Precision Tools,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-05-illustration-plan.md
F05.04,5.4,5,Modern Beekeeping,I — Foundations,Modern Risk Landscape,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-05-illustration-plan.md
F06.01,6.1,6,Bee Anatomy,II — Honey Bee Biology,External Worker Anatomy,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-06-illustration-plan.md
F06.02,6.2,6,Bee Anatomy,II — Honey Bee Biology,Head and Mouthparts,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-06-illustration-plan.md
F06.03,6.3,6,Bee Anatomy,II — Honey Bee Biology,Leg Specialisations,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-06-illustration-plan.md
F06.04,6.4,6,Bee Anatomy,II — Honey Bee Biology,Internal Systems,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-06-illustration-plan.md
F06.05,6.5,6,Bee Anatomy,II — Honey Bee Biology,"Worker, Queen and Drone Anatomy Comparison",comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-06-illustration-plan.md
F07.01,7.1,7,Honey Bee Life Cycle,II — Honey Bee Biology,Complete Development Cycle,timeline,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-07-illustration-plan.md
F07.02,7.2,7,Honey Bee Life Cycle,II — Honey Bee Biology,Larval Growth and Feeding,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-07-illustration-plan.md
F07.03,7.3,7,Honey Bee Life Cycle,II — Honey Bee Biology,Metamorphosis Under the Capping,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-07-illustration-plan.md
F07.04,7.4,7,Honey Bee Life Cycle,II — Honey Bee Biology,Caste Development Comparison,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-07-illustration-plan.md
F08.01,8.1,8,The Queen,II — Honey Bee Biology,Queen Anatomy and Identification,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-08-illustration-plan.md
F08.02,8.2,8,The Queen,II — Honey Bee Biology,Queen Reproductive System,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-08-illustration-plan.md
F08.03,8.3,8,The Queen,II — Honey Bee Biology,Mating and Sperm Storage Concept,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-08-illustration-plan.md
F08.04,8.4,8,The Queen,II — Honey Bee Biology,Queen Pheromonal Influence,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-08-illustration-plan.md
F08.05,8.5,8,The Queen,II — Honey Bee Biology,Queen-Life Management Timeline,timeline,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-08-illustration-plan.md
F09.01,9.1,9,Worker Bees,II — Honey Bee Biology,Worker Task Progression,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-09-illustration-plan.md
F09.02,9.2,9,Worker Bees,II — Honey Bee Biology,Worker Specialised Structures,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-09-illustration-plan.md
F09.03,9.3,9,Worker Bees,II — Honey Bee Biology,Forager Resource Types,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-09-illustration-plan.md
F09.04,9.4,9,Worker Bees,II — Honey Bee Biology,Worker Longevity Context,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-09-illustration-plan.md
F10.01,10.1,10,Drones,II — Honey Bee Biology,Drone Identification,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-10-illustration-plan.md
F10.02,10.2,10,Drones,II — Honey Bee Biology,Drone Development,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-10-illustration-plan.md
F10.03,10.3,10,Drones,II — Honey Bee Biology,Drone Reproductive Anatomy,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-10-illustration-plan.md
F10.04,10.4,10,Drones,II — Honey Bee Biology,Mating Congregation Concept,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-10-illustration-plan.md
F10.05,10.5,10,Drones,II — Honey Bee Biology,Seasonal Drone Dynamics,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-10-illustration-plan.md
F11.01,11.1,11,Communication Inside the Colony,II — Honey Bee Biology,Waggle Dance Geometry,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-11-illustration-plan.md
F11.02,11.2,11,Communication Inside the Colony,II — Honey Bee Biology,Distance and Dance Tempo Concept,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-11-illustration-plan.md
F11.03,11.3,11,Communication Inside the Colony,II — Honey Bee Biology,Multimodal Communication,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-11-illustration-plan.md
F11.04,11.4,11,Communication Inside the Colony,II — Honey Bee Biology,Alarm and Recruitment Signals,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-11-illustration-plan.md
F11.05,11.5,11,Communication Inside the Colony,II — Honey Bee Biology,Swarm Nest-Site Communication,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-11-illustration-plan.md
F12.01,12.1,12,Bee Behaviour,II — Honey Bee Biology,Behavioural Repertoire,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-12-illustration-plan.md
F12.02,12.2,12,Bee Behaviour,II — Honey Bee Biology,Orientation Flight Versus Robbing,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-12-illustration-plan.md
F12.03,12.3,12,Bee Behaviour,II — Honey Bee Biology,Defensive Escalation,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-12-illustration-plan.md
F12.04,12.4,12,Bee Behaviour,II — Honey Bee Biology,Grooming and Hygienic Behaviour,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-12-illustration-plan.md
F12.05,12.5,12,Bee Behaviour,II — Honey Bee Biology,Clustering and Thermoregulation,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-12-illustration-plan.md
F13.01,13.1,13,Colony Structure,II — Honey Bee Biology,Brood-Nest Organisation,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-13-illustration-plan.md
F13.02,13.2,13,Colony Structure,II — Honey Bee Biology,Colony as a Superorganism,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-13-illustration-plan.md
F13.03,13.3,13,Colony Structure,II — Honey Bee Biology,Age Structure and Workforce,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-13-illustration-plan.md
F13.04,13.4,13,Colony Structure,II — Honey Bee Biology,Resource Flow Through the Colony,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-13-illustration-plan.md
F14.01,14.1,14,Seasonal Colony Development,II — Honey Bee Biology,Annual Colony Population Cycle,timeline,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-14-illustration-plan.md
F14.02,14.2,14,Seasonal Colony Development,II — Honey Bee Biology,Temperate Versus Warm-Climate Patterns,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-14-illustration-plan.md
F14.03,14.3,14,Seasonal Colony Development,II — Honey Bee Biology,Winter-Bee Development,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-14-illustration-plan.md
F14.04,14.4,14,Seasonal Colony Development,II — Honey Bee Biology,Forage–Brood Feedback,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-14-illustration-plan.md
F15.01,15.1,15,Choosing an Apiary Location,III — Starting an Apiary,Apiary Site Assessment,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-15-illustration-plan.md
F15.02,15.2,15,Choosing an Apiary Location,III — Starting an Apiary,Good and Poor Flight Paths,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-15-illustration-plan.md
F15.03,15.3,15,Choosing an Apiary Location,III — Starting an Apiary,Drainage and Stand Placement,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-15-illustration-plan.md
F15.04,15.4,15,Choosing an Apiary Location,III — Starting an Apiary,Landscape Forage Mosaic,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-15-illustration-plan.md
F15.05,15.5,15,Choosing an Apiary Location,III — Starting an Apiary,Carrying Capacity Concept,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-15-illustration-plan.md
F16.01,16.1,16,Planning the Apiary,III — Starting an Apiary,Small Apiary Layout,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-16-illustration-plan.md
F16.02,16.2,16,Planning the Apiary,III — Starting an Apiary,Growth Plan,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-16-illustration-plan.md
F16.03,16.3,16,Planning the Apiary,III — Starting an Apiary,Drift-Reduction Layouts,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-16-illustration-plan.md
F16.04,16.4,16,Planning the Apiary,III — Starting an Apiary,Equipment Flow,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-16-illustration-plan.md
F16.05,16.5,16,Planning the Apiary,III — Starting an Apiary,Apiary Identification System,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-16-illustration-plan.md
F17.01,17.1,17,Hive Types,III — Starting an Apiary,Common Movable-Frame Hive Families,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-17-illustration-plan.md
F17.02,17.2,17,Hive Types,III — Starting an Apiary,Horizontal Versus Vertical Expansion,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-17-illustration-plan.md
F17.03,17.3,17,Hive Types,III — Starting an Apiary,Top-Bar Hive Concept,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-17-illustration-plan.md
F17.04,17.4,17,Hive Types,III — Starting an Apiary,Hive-System Comparison Matrix,chart_data,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-17-illustration-plan.md
F18.01,18.1,18,Hive Components,III — Starting an Apiary,Exploded Modular Hive,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-18-illustration-plan.md
F18.02,18.2,18,Hive Components,III — Starting an Apiary,Frame Spacing and Bee Space,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-18-illustration-plan.md
F18.03,18.3,18,Hive Components,III — Starting an Apiary,Floor Types,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-18-illustration-plan.md
F18.04,18.4,18,Hive Components,III — Starting an Apiary,Entrance Management,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-18-illustration-plan.md
F18.05,18.5,18,Hive Components,III — Starting an Apiary,Hive Materials,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-18-illustration-plan.md
F19.01,19.1,19,Frames and Foundation,III — Starting an Apiary,Frame Anatomy,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-19-illustration-plan.md
F19.02,19.2,19,Frames and Foundation,III — Starting an Apiary,Foundation Types,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-19-illustration-plan.md
F19.03,19.3,19,Frames and Foundation,III — Starting an Apiary,Wiring / Reinforcement Concept,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-19-illustration-plan.md
F19.04,19.4,19,Frames and Foundation,III — Starting an Apiary,Straight Natural Comb,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-19-illustration-plan.md
F19.05,19.5,19,Frames and Foundation,III — Starting an Apiary,Comb Age Sequence,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-19-illustration-plan.md
F20.01,20.1,20,Essential Equipment,III — Starting an Apiary,Beginner Equipment Set,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-20-illustration-plan.md
F20.02,20.2,20,Essential Equipment,III — Starting an Apiary,Equipment by Task,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-20-illustration-plan.md
F20.03,20.3,20,Essential Equipment,III — Starting an Apiary,Purchase Priority Matrix,chart_data,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-20-illustration-plan.md
F20.04,20.4,20,Essential Equipment,III — Starting an Apiary,Clean Equipment Workflow,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-20-illustration-plan.md
F20.05,20.5,20,Essential Equipment,III — Starting an Apiary,Maintenance Check,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-20-illustration-plan.md
F21.01,21.1,21,Protective Clothing,III — Starting an Apiary,Protective Clothing System,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-21-illustration-plan.md
F21.02,21.2,21,Protective Clothing,III — Starting an Apiary,Veil Clearance,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-21-illustration-plan.md
F21.03,21.3,21,Protective Clothing,III — Starting an Apiary,Clothing Selection by Task,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-21-illustration-plan.md
F21.04,21.4,21,Protective Clothing,III — Starting an Apiary,Pre-Inspection PPE Check,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-21-illustration-plan.md
F21.05,21.5,21,Protective Clothing,III — Starting an Apiary,Heat-Stress Awareness,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-21-illustration-plan.md
F22.01,22.1,22,Smokers and Hive Tools,III — Starting an Apiary,Smoker Anatomy,anatomical,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.02,22.2,22,Smokers and Hive Tools,III — Starting an Apiary,Airflow and Cool-Smoke Production,technical_cutaway,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.03,22.3,22,Smokers and Hive Tools,III — Starting an Apiary,Suitable Versus Unsuitable Smoker Fuels,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.04,22.4,22,Smokers and Hive Tools,III — Starting an Apiary,Smoker-Lighting Sequence,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.05,22.5,22,Smokers and Hive Tools,III — Starting an Apiary,Minimum Effective Smoke,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.06,22.6,22,Smokers and Hive Tools,III — Starting an Apiary,Hot-Smoker and Fire-Safety Zone,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.07,22.7,22,Smokers and Hive Tools,III — Starting an Apiary,Common Hive-Tool Designs,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.08,22.8,22,Smokers and Hive Tools,III — Starting an Apiary,Correct Frame Release,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.09,22.9,22,Smokers and Hive Tools,III — Starting an Apiary,Tool Hygiene Between Colonies,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F22.10,22.10,22,Smokers and Hive Tools,III — Starting an Apiary,Compact Inspection Tool Kit,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-22-illustration-plan.md
F23.01,23.1,23,Beekeeping Safety and First Aid,III — Starting an Apiary,Apiary Hazard Map,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-23-illustration-plan.md
F23.02,23.2,23,Beekeeping Safety and First Aid,III — Starting an Apiary,Simple Risk-Assessment Sequence,chart_data,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-23-illustration-plan.md
